Section,Subsection,Topic (Bangla),Topic (English),Content type,Priority,Notes
Phase 1: Starting,Import / Export / IP,ট্রেডমার্ক খোঁজা ও ফাইলিং গাইড,Trademark search and filing guide,Guide,High,Source lead: DPDT.
Phase 1: Starting,Import / Export / IP,ব্র্যান্ড নাম নেওয়ার আগে ট্রেডমার্ক সংঘাত পরীক্ষা,Trademark conflict check before choosing a brand name,Checklist,High,Avoid future rebrand.
Phase 1: Starting,Import / Export / IP,"সফটওয়্যার, কোর্স ও কনটেন্টের কপিরাইট বেসিক","Copyright basics for software, courses and content",Guide,Medium,Source lead: Copyright Office.
Phase 1: Starting,Import / Export / IP,ফ্রিল্যান্সার দিয়ে বানালে মেধাস্বত্ব হস্তান্তর কীভাবে নেবেন,How to get IP assignment from freelancers,Checklist,High,Contract hygiene.
Phase 1: Starting,Import / Export / IP,"পেটেন্ট, ডিজাইন ও GI: কোনটা আপনার জন্য প্রাসঙ্গিক","Patent, design and GI: which one matters for you?",Guide,Medium,Source lead: DPDT.
Phase 2: Building,Founding & Team,সহ-প্রতিষ্ঠাতা খুঁজে বের করার উপায়,How to find co-founders,Guide / Template,High,
Phase 2: Building,Founding & Team,"সহ-প্রতিষ্ঠাতাদের সাথে কোথায় দেখা করবেন: অনুষ্ঠান, কমিউনিটি, বিশ্ববিদ্যালয়","Where to meet co-founders: events, communities, universities",Guide / Template,High,
Phase 2: Building,Founding & Team,সহ-প্রতিষ্ঠাতা চুক্তি কীভাবে গঠন করবেন,How to structure co-founder agreements,Guide / Template,High,
Phase 2: Building,Founding & Team,ইকুইটি বিভাজন আলোচনা নির্দেশিকা,Equity split discussion guide,Guide / Template,High,
Phase 2: Building,Founding & Team,ভেস্টিংয়ের প্রাথমিক বিষয়গুলো সহজ বাংলায় অনুবাদ করা হয়েছে,Vesting basics translated into plain Bangla,Guide / Template,High,
Phase 2: Building,Founding & Team,অনানুষ্ঠানিক সহ-প্রতিষ্ঠাতা হিসেবে পরিবারের সম্পৃক্ততা,Family involvement as informal co-founders,Guide / Template,High,
Phase 2: Building,Hiring,প্রথম কর্মী কীভাবে নিয়োগ করবেন,Hiring first employees,Guide / Template,High,
Phase 2: Building,Hiring,প্রথম কর্মী বনাম ফ্রিল্যান্সার বনাম ইন্টার্ন নিয়োগ,Hiring first employee vs freelancer vs intern,Guide / Template,High,
Phase 2: Building,Hiring,ইন্টার্ন এবং ছাত্র প্রতিভা,Interns and student talent,Guide / Template,High,
Phase 2: Building,Hiring,রিমোট টিমের কাজের নিয়ম,Remote team norms,Guide / Template,High,
Phase 2: Building,Hiring,বুটস্ট্র্যাপিং কৌশল হিসেবে remote/outsourced hiring,Remote/outsourced hiring as a bootstrapping tactic,Guide / Template,High,
Phase 2: Building,Hiring,শ্রম আইনের প্রাথমিক ধারণা: বাংলাদেশ শ্রম আইন ২০০৬,Labor law basics: Bangladesh Labour Act 2006,Guide / Template,High,
Phase 2: Building,Hiring,কর্মসংস্থান চুক্তি,Employment contracts,Guide / Template,High,
Phase 2: Building,Hiring,"ইপিএফ, গ্র্যাচুইটি এবং অন্যান্য সুবিধার প্রাথমিক বিষয়াবলী","EPF, gratuity, and benefits basics",Guide / Template,High,
Phase 2: Building,Hiring,বেতনের মানদণ্ড গবেষণা পরিকল্পনা,Salary benchmarks research plan,Guide / Template,High,
Phase 2: Building,Hiring,"প্রতিভা কোথায় খুঁজে পাবেন: লিঙ্কডইন, ফেসবুক গ্রুপ, চাকরি.কম, বিডিজবস, বিশ্ববিদ্যালয়ের ক্যারিয়ার অফিস","Where to find talent: LinkedIn, Facebook groups, Chakri.com, BDJobs, university career offices",Guide / Template,High,
Phase 2: Building,Hiring,বাংলাদেশি স্টার্টআপগুলিতে সাংস্কৃতিক ভুল,Culture mistakes in Bangladeshi startups,Guide / Template,High,
Phase 2: Building,Hiring,প্রতিভা ধরে রাখা এবং মেধা পাচার,Talent retention and brain drain,Guide / Template,High,
Phase 2: Building,Hiring,নিয়োগ স্কোরকার্ড,Hiring scorecard,Guide / Template,High,
Phase 2: Building,Product,বাংলাদেশে আপনার পণ্য তৈরি করা,Building your product in Bangladesh,Guide,Medium,
Phase 2: Building,Product,বাংলাদেশে ডেভেলপার খোঁজা,Finding developers in Bangladesh,Guide,Medium,
Phase 2: Building,Product,ফ্রিল্যান্সার ইকোসিস্টেম এবং স্থানীয় বনাম অফশোর উন্নয়ন,Freelancer ecosystem and local vs offshore development,Guide,Medium,
Phase 2: Building,Product,"টেক স্ট্যাক বিবেচ্য বিষয়: মোবাইল-ফার্স্ট, লো-ব্যান্ডউইথ অপ্টিমাইজেশন","Tech stack considerations: mobile-first, low-bandwidth optimization",Guide,Medium,
Phase 2: Building,Product,বাংলা ইউএক্স এবং মোবাইল-ফার্স্ট পণ্য,Bangla UX and mobile-first products,Guide,Medium,
Phase 2: Building,Product,গ্রাহকের ডেটার জন্য ডেটা গোপনীয়তা/সুরক্ষার বাধ্যবাধকতা,Data privacy/protection obligations for customer data,Guide,Medium,
Phase 2: Building,Product,তথ্য ও যোগাযোগ প্রযুক্তি আইন এবং উদীয়মান প্রবিধানের সংক্ষিপ্ত বিবরণ,ICT Act and emerging regulations overview,Guide,Medium,
Phase 2: Building,Product,"মেধাস্বত্ব হস্তান্তর, গোপনীয়তা চুক্তি, অপ্রতিযোগিতা চুক্তির প্রয়োগযোগ্যতার মৌলিক বিষয়সমূহ","IP assignment, NDA, non-compete enforceability basics",Guide,Medium,
Phase 2: Building,Founding & Team,প্রতিষ্ঠাতা ভূমিকা ম্যাট্রিক্স: কে কী করবে,Founder role matrix: who does what,Template,High,Avoid vague co-founder roles.
Phase 2: Building,Founding & Team,সহ-প্রতিষ্ঠাতা আলাদা হলে কীভাবে সামলাবেন,How to handle a co-founder breakup,Guide / Script,High,Very common risk.
Phase 2: Building,Founding & Team,উপদেষ্টা চুক্তি ও মেন্টর ইকুইটি বেসিক,Advisor agreements and mentor equity basics,Guide,Medium,Plain-language equity guidance.
Phase 2: Building,Founding & Team,ESOP বা কর্মী শেয়ার পরিকল্পনা বেসিক,ESOP or employee share plan basics,Guide,Medium,Growth-stage topic.
Phase 2: Building,Founding & Team,পরিবারের টাকা নিলে লিখিত শর্ত কী হবে,Written terms when taking family money,Template,High,Bangladesh-specific reality.
Phase 2: Building,Founding & Team,ফ্রিল্যান্সার চুক্তি ও মেধাস্বত্ব মালিকানা চেকলিস্ট,Freelancer contract and IP ownership checklist,Checklist,High,Avoid ownership disputes.
Phase 2: Building,Hiring,প্রথম ইন্টার্নশিপ প্রোগ্রাম কীভাবে চালাবেন,How to run your first internship program,Guide,Medium,Student talent path.
Phase 2: Building,Hiring,"অফার লেটার, probation ও joining চেকলিস্ট","Offer letter, probation and joining checklist",Template,High,First-hire basics.
Phase 2: Building,Hiring,ছুটি নীতি ও অফিস নিয়মের টেমপ্লেট,Leave policy and office rules template,Template,Medium,Small team HR hygiene.
Phase 2: Building,Hiring,"চাকরি শেষ করা, নোটিশ পিরিয়ড ও গ্র্যাচুইটি বেসিক","Termination, notice period and gratuity basics",Guide,High,Needs labor-law review.
Phase 2: Building,Hiring,"পে-রোল প্রক্রিয়া: বেতন শিট, ব্যাংক ট্রান্সফার ও কর","Payroll process: salary sheet, bank transfer and tax",Guide / Template,Medium,Ops foundation.
Phase 2: Building,Hiring,বাংলায় চাকরির পোস্ট কীভাবে লিখবেন,How to write job posts in Bangla,Template,Medium,Improves candidate quality.
Phase 2: Building,Product,লো-এন্ড অ্যান্ড্রয়েড ফোনের জন্য পণ্য অপটিমাইজ করা,Optimizing products for low-end Android phones,Guide,High,Bangladesh mobile-first reality.
Phase 2: Building,Product,"বাংলা UX লেখা: শব্দ, টোন ও ফ্লো","Bangla UX writing: words, tone and flow",Guide,High,Bangla-first product support.
Phase 2: Building,Product,SMS OTP খরচ ও বিকল্প লগইন ফ্লো,SMS OTP costs and alternative login flows,Guide,Medium,Local cost and reliability issue.
Phase 2: Building,Product,গ্রাহকের ডেটা সম্মতি ও গোপনীয়তা নোটিশ টেমপ্লেট,Customer data consent and privacy notice template,Template,High,Data protection hygiene.
Phase 2: Building,Product,ছোট স্টার্টআপের সাইবার নিরাপত্তা বেসিক,Cybersecurity basics for small startups,Guide,Medium,"Passwords, access, backups, payments."
Phase 2: Building,Product,নো-কোড MVP বানানো: কখন যথেষ্ট,Building a no-code MVP: when it is enough,Guide,Medium,Bootstrapping path.
Phase 2: Building,Physical Product,প্রোটোটাইপ থেকে প্রথম ব্যাচ,From prototype to first batch,Guide,High,Physical-product startup path.
Phase 2: Building,Physical Product,BOM ও খরচের শিট বানানো,Building a BOM and costing sheet,Template,High,Manufacturing finance.
Phase 2: Building,Physical Product,লোকাল সাপ্লায়ার খোঁজার চেকলিস্ট,Local supplier sourcing checklist,Checklist,High,"For food, apparel, hardware, packaging."
Phase 2: Building,Physical Product,প্রথম উৎপাদন ব্যাচের গুণমান নিয়ন্ত্রণ চেকলিস্ট,Quality control checklist for first production run,Checklist,High,Avoid defective launch inventory.
Phase 2: Building,Physical Product,প্যাকেজিং ও লেবেল ডিজাইন অনুমোদনের কাজের ধাপ,Packaging and label design approval workflow,Guide,Medium,"Brand, compliance and retail."
Phase 2: Building,Physical Product,ইনভেন্টরি ও ওয়্যারহাউস সেটআপ,Inventory and warehouse setup,Guide,High,Commerce and physical goods.
Phase 2: Building,Physical Product,কোল্ড চেইন লাগলে কীভাবে পরিকল্পনা করবেন,How to plan if cold chain is required,Guide,Medium,"Food, pharma, health products."
Phase 2: Building,Physical Product,উৎপাদন পার্টনার যাচাইয়ের চেকলিস্ট,Manufacturing partner due diligence,Checklist,High,Supplier risk management.
Phase 3: Launching & Growing,Local Market Playbooks,বাংলাদেশে আপনার প্রথম ১০০ জন গ্রাহক কীভাবে পাবেন,How to get your first 100 customers in Bangladesh,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,ফেসবুক কমার্স প্লেবুক,Facebook commerce playbook,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,হোয়াটসঅ্যাপ এবং মেসেঞ্জার বিক্রয় কৌশলপুস্তক,WhatsApp and Messenger sales playbook,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,একটি পূর্ণাঙ্গ ওয়েবসাইট তৈরির আগে ফেসবুক/হোয়াটসঅ্যাপের উপর ভিত্তি করে কাজ করা।,Building on Facebook/WhatsApp before a full website,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,বাংলা ল্যান্ডিং পেজ কপিরাইটিং,Bangla landing page copywriting,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,ল্যান্ডিং পেজ টেমপ্লেট,Landing page template,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,ফেসবুক বিজ্ঞাপন পরীক্ষা পরিকল্পনাকারী,Facebook ad test planner,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,বাংলাদেশে ইনফ্লুয়েন্সার মার্কেটিং,Influencer marketing in Bangladesh,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,বাংলায় এসইও,SEO in Bangla,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,অফলাইন বিপণন এবং বিতরণ,Offline marketing and distribution,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,ক্যাম্পাস অ্যাম্বাসেডর মডেল,Campus ambassador model,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,মার্কেটপ্লেস বনাম নিজস্ব স্টোর: Daraz/Facebook Shop বনাম নিজের সাইট,Marketplace vs owned storefront: Daraz/Facebook Shop vs your own site,Playbook / Template,High,
Phase 3: Launching & Growing,Sales & Distribution,বাংলাদেশে এসএমই বিক্রয়,SME sales in Bangladesh,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,বি২বি বিক্রয় স্ক্রিপ্ট,B2B sales scripts,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,এসএমই বিক্রয় কল স্ক্রিপ্ট,SME sales call script,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,কর্পোরেট অংশীদারিত্বের গতিশীলতা,Corporate partnership dynamics,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,কম আস্থার বাজারে আস্থা তৈরি,Trust-building in low-trust markets,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,ঢাকার বাইরে বিক্রি করা,Selling outside Dhaka,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,ঢাকার বাইরে বিতরণ,Distribution outside Dhaka,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,ঢাকা বনাম চট্টগ্রাম বনাম দ্বিতীয় স্তরের শহরের পার্থক্য,Dhaka vs Chattogram vs tier-2 city differences,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,অফলাইন থেকে অনলাইন আচরণ,Offline-to-online behavior,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,এসএমই ডিজিটাইজেশনের বাধা,SME digitization barriers,Playbook,High,
Phase 3: Launching & Growing,Logistics & Commerce,সিওডি এবং ডেলিভারি ঝুঁকি,COD and delivery risk,Guide / Checklist,High,
Phase 3: Launching & Growing,Logistics & Commerce,ক্যাশ-অন-ডেলিভারি ঝুঁকি চেকলিস্ট,Cash-on-delivery risk checklist,Guide / Checklist,High,
Phase 3: Launching & Growing,Logistics & Commerce,কুরিয়ার/লজিস্টিক বিকল্পগুলি,Courier/logistics options,Guide / Checklist,High,
Phase 3: Launching & Growing,Logistics & Commerce,"Pathao, Steadfast, RedX, Paperfly এবং এই জাতীয় অন্যান্য পরিষেবা প্রদানকারীদের সাথে কাজ করা","Working with Pathao, Steadfast, RedX, Paperfly and similar providers",Guide / Checklist,High,
Phase 3: Launching & Growing,Logistics & Commerce,শেষ ধাপের ডেলিভারির সীমাবদ্ধতা,Last-mile delivery constraints,Guide / Checklist,High,
Phase 3: Launching & Growing,Logistics & Commerce,ডিজিটাল কমার্স নীতিমালা এবং একটি অনলাইন শপের জন্য এতে কী কী প্রয়োজন,Digital Commerce Policy and what it requires of an online shop,Guide / Checklist,High,
Phase 3: Launching & Growing,Logistics & Commerce,মূল্য সংবেদনশীলতা এবং অর্থ প্রদানের ইচ্ছা,Price sensitivity and willingness to pay,Guide / Checklist,High,
Phase 3: Launching & Growing,Logistics & Commerce,বাংলাদেশের জন্য কিস্তি সংস্কৃতি এবং মূল্য নির্ধারণ কৌশল,Installment culture and pricing strategy for Bangladesh,Guide / Checklist,High,
Phase 3: Launching & Growing,Metrics & Operations,স্টার্টআপ মেট্রিক্স ১০১,Startup metrics 101,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,"CAC, LTV, রিটেনশন, চর্ন, পেব্যাক","CAC, LTV, retention, churn, payback",Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,মার্কেটপ্লেস মেট্রিক্স,Marketplace metrics,Guide / Calculator,High,"Focuses on GMV, take rates, and liquidity. Tip: Essential for startups connecting buyers and sellers in the local market."
Phase 3: Launching & Growing,Metrics & Operations,ই-কমার্স মেট্রিক্স,E-commerce metrics,Guide / Calculator,High,"Focuses on CAC, AOV, LTV, and conversion rates. Tip: Use to track profitability and marketing efficiency."
Phase 3: Launching & Growing,Metrics & Operations,SaaS মেট্রিক্স,SaaS metrics,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,ইউনিট অর্থনীতি টেমপ্লেট,Unit economics template,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,মাসিক প্রতিষ্ঠাতা ড্যাশবোর্ড,Monthly founder dashboard,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,একজন হিসাবরক্ষক নন এমন প্রতিষ্ঠাতার জন্য প্রয়োজনীয় প্রাথমিক হিসাবরক্ষণ/অ্যাকাউন্টিং।,Basic bookkeeping/accounting a non-accountant founder needs,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,ভ্যাট ক্যালকুলেটর,VAT calculator,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,ব্রেক-ইভেন ক্যালকুলেটর,Break-even calculator,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,বেতন/পিএফ ক্যালকুলেটর,Salary/PF calculator,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,রানওয়ে ক্যালকুলেটর,Runway calculator,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,বাংলাদেশি স্টার্টআপগুলির জন্য সহজলভ্য এবং সাশ্রয়ী সরঞ্জাম,Tools accessible and affordable for Bangladeshi startups,Guide / Calculator,High,
Phase 3: Launching & Growing,Funding,বাংলাদেশে বুটস্ট্র্যাপিং,Bootstrapping in Bangladesh,Guide / Template,High,
Phase 3: Launching & Growing,Funding,বন্ধু এবং পরিবারের তহবিল,Friends and family funding,Guide / Template,High,
Phase 3: Launching & Growing,Funding,অ্যাঞ্জেল বিনিয়োগকারীরা,Angel investors,Guide / Template,High,
Phase 3: Launching & Growing,Funding,বাংলাদেশ অ্যাঞ্জেলস নেটওয়ার্ক,Bangladesh Angels Network,Guide / Template,High,
Phase 3: Launching & Growing,Funding,স্টার্টআপ বাংলাদেশ,Startup Bangladesh,Guide / Template,High,
Phase 3: Launching & Growing,Funding,স্থানীয় ভিসি ল্যান্ডস্কেপ,Local VC landscape,Guide / Template,High,
Phase 3: Launching & Growing,Funding,আন্তর্জাতিক বিনিয়োগকারীরা,International investors,Guide / Template,High,
Phase 3: Launching & Growing,Funding,বৈদেশিক বিনিয়োগ/এফডিআই নিয়মাবলী এবং প্রবাসীদের অর্থায়ন,Foreign investment/FDI rules and diaspora funding,Guide / Template,High,
Phase 3: Launching & Growing,Funding,বাংলাদেশে ক্রাউডফান্ডিংয়ের বৈধতা,Crowdfunding legality in Bangladesh,Guide / Template,High,
Phase 3: Launching & Growing,Funding,অনুদান এবং প্রতিযোগিতা,Grants and competitions,Guide / Template,High,
Phase 3: Launching & Growing,Funding,বাংলাদেশ ব্যাংক স্টার্টআপ তহবিল,Bangladesh Bank startup fund,Guide / Template,High,
Phase 3: Launching & Growing,Funding,আইডিয়া প্রকল্প এবং বঙ্গবন্ধু উদ্ভাবন অনুদান,iDEA Project and Bangabandhu Innovation Grant,Guide / Template,High,
Phase 3: Launching & Growing,Funding,পিচ ডেক টেমপ্লেট,Pitch deck template,Guide / Template,High,
Phase 3: Launching & Growing,Funding,তহবিল সংগ্রহের ডেটা রুমের চেকলিস্ট,Fundraising data room checklist,Guide / Template,High,
Phase 3: Launching & Growing,Funding,বিনিয়োগকারী সিআরএম,Investor CRM,Guide / Template,High,
Phase 3: Launching & Growing,Funding,মূল্যায়নের মূল বিষয়গুলি,Valuation basics,Guide / Template,High,
Phase 3: Launching & Growing,Funding,সহজ বাংলায় টার্ম শিটের মূল বিষয়াবলী,Term sheet basics in plain Bangla,Guide / Template,High,
Phase 3: Launching & Growing,Funding,সহজ বাংলায় cap table-এর বেসিক,Cap table basics in plain Bangla,Guide / Template,High,
Phase 3: Launching & Growing,Funding,প্রথম বিনিয়োগকারী বোর্ডের আসন এবং নিয়ন্ত্রণ হারানোর বিষয়টি মোকাবেলা করা,Dealing with first investor board seat and loss of control,Guide / Template,High,
Phase 3: Launching & Growing,Funding,মাসিক বিনিয়োগকারী আপডেট টেমপ্লেট,Monthly investor update template,Guide / Template,High,
Phase 3: Launching & Growing,Scaling,ঢাকার বাইরে সম্প্রসারণ,Expanding beyond Dhaka,Guide,Medium,
Phase 3: Launching & Growing,Scaling,গ্রামীণ বাজারের বিবেচনা,Rural market considerations,Guide,Medium,
Phase 3: Launching & Growing,Scaling,দক্ষিণ এশিয়ায় আঞ্চলিক হয়ে ওঠা,Going regional in South Asia,Guide,Medium,
Phase 3: Launching & Growing,Scaling,আন্তঃসীমান্ত নিয়ন্ত্রক বিবেচনা,Cross-border regulatory considerations,Guide,Medium,
Phase 3: Launching & Growing,Scaling,এজেন্সি থেকে পণ্যে রূপান্তর,Agency-to-product transition,Guide,Medium,
Phase 3: Launching & Growing,Scaling,দ্বিতীয়বারের প্রতিষ্ঠাতাদের বিষয়,Second-time founder topics,Guide,Medium,
Phase 3: Launching & Growing,Local Market Playbooks,"ফেসবুক পেজ, শপ ও ইনবক্স অপারেশনস সেটআপ","Facebook page, shop and inbox ops setup",Playbook,High,Social commerce operating guide.
Phase 3: Launching & Growing,Local Market Playbooks,WhatsApp ক্যাটালগ ও ব্রডকাস্ট কাজের ধাপ,WhatsApp catalog and broadcast workflow,Playbook,High,Sales ops content.
Phase 3: Launching & Growing,Local Market Playbooks,TikTok ও YouTube Shorts দিয়ে চাহিদা তৈরি,Creating demand with TikTok and YouTube Shorts,Playbook,Medium,DataReportal source lead for platform usage.
Phase 3: Launching & Growing,Local Market Playbooks,"কমিউনিটি সিডিং: পাবলিক গ্রুপ, ক্যাম্পাস ও নিশ কমিউনিটি","Community seeding in public groups, campuses and niches",Playbook,Medium,Founder-led distribution.
Phase 3: Launching & Growing,Local Market Playbooks,বাংলাদেশের জন্য রেফারেল প্রোগ্রাম,Referral programs for Bangladesh,Guide / Template,Medium,Trust-driven acquisition.
Phase 3: Launching & Growing,Local Market Playbooks,বাংলায় কাস্টমার সাপোর্ট স্ক্রিপ্ট,Bangla customer support scripts,Script,High,Trust and retention.
Phase 3: Launching & Growing,Local Market Playbooks,"মিডিয়া পিচ: Future Startup, Daily Star, TBS, Prothom Alo","Media pitch guide: Future Startup, Daily Star, TBS and Prothom Alo",Template,Medium,Startup PR.
Phase 3: Launching & Growing,Sales & Distribution,ডিলার ও ডিস্ট্রিবিউটর মডেল,Dealer and distributor model,Guide,High,Physical products and regional sales.
Phase 3: Launching & Growing,Sales & Distribution,রিটেইল শেলফে পণ্য বসাবেন কীভাবে,How to get retail shelf placement,Guide,Medium,For consumer products.
Phase 3: Launching & Growing,Sales & Distribution,কর্পোরেট পাইলট থেকে পেইড কনট্রাক্ট,From corporate pilot to paid contract,Playbook,High,B2B Bangladesh reality.
Phase 3: Launching & Growing,Sales & Distribution,NGO ও উন্নয়ন খাতের পার্টনারশিপ,NGO and development-sector partnerships,Guide,Medium,Relevant for impact startups.
Phase 3: Launching & Growing,Sales & Distribution,"পারচেজ অর্ডার, ইনভয়েস ও টাকা তোলার কাজের ধাপ","Purchase order, invoice and collection workflow",Guide / Template,High,SME and B2B sales ops.
Phase 3: Launching & Growing,Logistics & Commerce,"রিটার্ন, রিফান্ড ও এক্সচেঞ্জ নীতির টেমপ্লেট","Return, refund and exchange policy template",Template,High,E-commerce trust topic.
Phase 3: Launching & Growing,Logistics & Commerce,কুরিয়ার SLA তুলনা স্কোরকার্ড,Courier SLA comparison scorecard,Scorecard,High,"Pathao, Steadfast, RedX, Paperfly etc."
Phase 3: Launching & Growing,Logistics & Commerce,ঢাকার বাইরে ডেলিভারি জোন পরিকল্পনা,Delivery zone plan outside Dhaka,Template,High,Operational planning.
Phase 3: Launching & Growing,Logistics & Commerce,ফেরত আসা ও ব্যর্থ ডেলিভারি কমানোর উপায়,Reducing return-to-origin and failed delivery,Guide,High,COD-heavy market issue.
Phase 3: Launching & Growing,Logistics & Commerce,COD জালিয়াতি ও ভুয়া অর্ডার সামলানোর প্লেবুক,COD fraud and fake-order response playbook,Playbook,High,Commerce risk.
Phase 3: Launching & Growing,Metrics & Operations,ক্যাশফ্লো বনাম মুনাফা: ফাউন্ডারদের জন্য সহজ ব্যাখ্যা,Cashflow vs profit in plain language for founders,Guide,High,Bookkeeping education.
Phase 3: Launching & Growing,Metrics & Operations,ওয়ার্কিং ক্যাপিটাল সাইকেল ক্যালকুলেটর,Working capital cycle calculator,Calculator,High,Inventory and B2B payment cycles.
Phase 3: Launching & Growing,Metrics & Operations,ইনভেন্টরি টার্নওভার ক্যালকুলেটর,Inventory turnover calculator,Calculator,Medium,Commerce/physical product metrics.
Phase 3: Launching & Growing,Metrics & Operations,বাংলাদেশের প্রেক্ষাপটে cohort retention,Cohort retention in the Bangladesh context,Guide,Medium,Retention education.
Phase 3: Launching & Growing,Metrics & Operations,প্রাথমিক টিমের ম্যানুয়াল অপারেশনস ড্যাশবোর্ড,Manual ops dashboard for early teams,Template,High,Google Sheets-first operator tool.
Phase 3: Launching & Growing,Funding,গ্রান্ট আবেদন ক্যালেন্ডার,Grant application calendar,Calendar,High,"iDEA, BIG, Startup Bangladesh and accelerators."
Phase 3: Launching & Growing,Funding,BIG আবেদন গাইড,Bangabandhu Innovation Grant application guide,Guide,Medium,Source lead: iDEA / BIG.
Phase 3: Launching & Growing,Funding,Startup Bangladesh বিনিয়োগ যাচাই চেকলিস্ট,Startup Bangladesh due diligence checklist,Checklist,High,Source lead: Startup Bangladesh investment application.
Phase 3: Launching & Growing,Funding,Bangladesh Angels Network যোগাযোগ ট্র্যাকার,Bangladesh Angels Network outreach tracker,Tracker,Medium,Investor CRM variant.
Phase 3: Launching & Growing,Funding,"SAFE, convertible note ও priced round সহজ বাংলায়","SAFE, convertible notes and priced rounds in plain Bangla",Guide,High,Translate fundraising mechanics.
Phase 3: Launching & Growing,Funding,পরিবারের টাকা ক্যাপ টেবিলে কীভাবে দেখাবেন,How to reflect family money in the cap table,Guide,High,Bangladesh-specific funding reality.
Phase 3: Launching & Growing,Funding,"ব্যাংক ঋণ, SME ঋণ নাকি ইকুইটি?","Bank loan, SME loan or equity?",Comparison,Medium,For non-VC businesses too.
Phase 3: Launching & Growing,Funding,NRB বা প্রবাসী বিনিয়োগ নেওয়ার পথ,NRB or diaspora funding path,Guide,High,"Source lead: Startup Bangladesh NRB Connect, BIDA."
Phase 3: Launching & Growing,Funding,ইনভেস্টর বোর্ড রিপোর্ট টেমপ্লেট,Investor board report template,Template,Medium,Post-funding governance.
Phase 3: Launching & Growing,Scaling,নতুন শহরে লঞ্চ প্লেবুক,City launch playbook,Playbook,High,For expansion outside Dhaka.
Phase 3: Launching & Growing,Scaling,টিয়ার-২ শহরে লোকাল পার্টনার চেকলিস্ট,Tier-2 city local partner checklist,Checklist,Medium,Distribution and trust.
Phase 3: Launching & Growing,Scaling,বাংলাদেশের জন্য ওয়্যারহাউস হাব মডেল,Warehouse hub model for Bangladesh,Guide,Medium,Commerce/logistics.
Phase 3: Launching & Growing,Scaling,"আঞ্চলিক রপ্তানি: নেপাল, ভারত, মধ্যপ্রাচ্য","Regional export: Nepal, India and the Middle East",Guide,Medium,Export-oriented founders.
Phase 3: Launching & Growing,Scaling,দ্বিতীয় অফিস বা কারখানা খুললে কমপ্লায়েন্স চেকলিস্ট,Compliance checklist for a second office or factory,Checklist,Medium,Scale-stage operations.
Phase 4: Ecosystem & Support,Government Programs & Policies,হাই-টেক পার্ক কর্তৃপক্ষের প্রোগ্রামগুলি,Hi-Tech Park Authority programs,Guide / Directory,Medium,
Phase 4: Ecosystem & Support,Government Programs & Policies,বিডা ওয়ান-স্টপ পরিষেবা এবং বিনিয়োগ নীতি,BIDA one-stop services and investment policy,Guide / Directory,Medium,
Phase 4: Ecosystem & Support,Government Programs & Policies,আইটি/আইটিইএস-এর জন্য রপ্তানি প্রণোদনা,Export incentives for IT/ITES,Guide / Directory,Medium,
Phase 4: Ecosystem & Support,Government Programs & Policies,প্রযুক্তি সংস্থাগুলির জন্য কর অবকাশ,Tax holidays for tech companies,Guide / Directory,Medium,
Phase 4: Ecosystem & Support,Government Programs & Policies,বিশেষ অর্থনৈতিক অঞ্চল,Special Economic Zones,Guide / Directory,Medium,
Phase 4: Ecosystem & Support,Government Programs & Policies,সরকারি কর্মসূচির আবেদন নির্দেশিকা,Government program application guide,Guide / Directory,Medium,
